fixture_id,starting_at,league_id,ger_tackles,ger_interceptions,ger_clearances,ger_blocks,ger_saves,ger_fouls,defensive_compact_sum,formation_label
19032613,2024-06-14 19:00:00,1326,10.0,2.0,,5.0,0.0,15.0,17.0,4-2-3-1
19032614,2024-06-19 16:00:00,1326,17.0,6.0,,7.0,3.0,12.0,33.0,4-2-3-1
19032615,2024-06-23 19:00:00,1326,17.0,7.0,,5.0,2.0,12.0,31.0,4-2-3-1
19032605,2024-06-29 19:00:00,1326,7.0,8.0,,1.0,2.0,7.0,18.0,4-2-3-1
19032601,2024-07-05 16:00:00,1326,23.0,9.0,,7.0,4.0,22.0,43.0,4-2-3-1
19085361,2024-09-07 18:45:00,1538,16.0,3.0,,5.0,1.0,13.0,25.0,4-2-3-1
19085364,2024-09-10 18:45:00,1538,21.0,7.0,,8.0,2.0,13.0,38.0,4-2-3-1
19085365,2024-10-11 18:45:00,1538,13.0,4.0,,3.0,0.0,9.0,20.0,4-2-3-1
19085368,2024-10-14 18:45:00,1538,16.0,12.0,,5.0,1.0,10.0,34.0,4-2-3-1
19085369,2024-11-16 19:45:00,1538,19.0,8.0,,4.0,3.0,7.0,34.0,4-2-3-1
19085372,2024-11-19 19:45:00,1538,17.0,8.0,,5.0,5.0,12.0,35.0,4-2-3-1
19330542,2025-03-20 19:45:00,1538,16.0,9.0,,3.0,6.0,20.0,34.0,4-2-3-1
19330543,2025-03-23 19:45:00,1538,8.0,11.0,,6.0,0.0,15.0,25.0,4-2-3-1
19330514,2025-06-04 19:10:00,1538,15.0,10.0,,2.0,4.0,9.0,31.0,3-4-2-1
19330560,2025-06-08 13:00:00,1538,18.0,10.0,,7.0,7.0,11.0,42.0,4-1-3-2
19427830,2025-09-04 18:45:00,720,11.0,4.0,,4.0,3.0,18.0,22.0,4-2-3-1
19427850,2025-09-07 18:45:00,720,9.0,6.0,,2.0,0.0,9.0,17.0,3-4-2-1
19427884,2025-10-10 18:45:00,720,11.0,6.0,,6.0,1.0,10.0,24.0,4-2-3-1
19427920,2025-10-13 18:45:00,720,9.0,5.0,,4.0,3.0,14.0,21.0,4-4-1-1
19427934,2025-11-14 19:45:00,720,13.0,8.0,,3.0,1.0,10.0,25.0,4-3-3
19427866,2025-11-17 19:45:00,720,11.0,4.0,,5.0,2.0,11.0,22.0,4-2-3-1
