fixture_id,starting_at,league_id,ger_tackles,ger_interceptions,ger_clearances,ger_blocks,ger_fouls,ger_ball_recoveries,defensive_actions_sum,opp_passes,ppda_proxy,pressure_mean,timeline_events_leq15
19032613,2024-06-14 19:00:00,1326,10.0,2.0,,5.0,15.0,,17.0,251.0,14.764705882352942,,3
19032614,2024-06-19 16:00:00,1326,17.0,6.0,,7.0,12.0,,30.0,308.0,10.266666666666667,,10
19032615,2024-06-23 19:00:00,1326,17.0,7.0,,5.0,12.0,,29.0,331.0,11.413793103448276,,6
19032605,2024-06-29 19:00:00,1326,7.0,8.0,,1.0,7.0,,16.0,444.0,27.75,,10
19032601,2024-07-05 16:00:00,1326,23.0,9.0,,7.0,22.0,,39.0,576.0,14.76923076923077,,4
19085361,2024-09-07 18:45:00,1538,16.0,3.0,,5.0,13.0,,24.0,464.0,19.333333333333332,,4
19085364,2024-09-10 18:45:00,1538,21.0,7.0,,8.0,13.0,,36.0,345.0,9.583333333333334,,5
19085365,2024-10-11 18:45:00,1538,13.0,4.0,,3.0,9.0,,20.0,252.0,12.6,,5
19085368,2024-10-14 18:45:00,1538,16.0,12.0,,5.0,10.0,,33.0,523.0,15.848484848484848,,4
19085369,2024-11-16 19:45:00,1538,19.0,8.0,,4.0,7.0,,31.0,291.0,9.387096774193548,,1
19085372,2024-11-19 19:45:00,1538,17.0,8.0,,5.0,12.0,,30.0,260.0,8.666666666666666,,2
19330542,2025-03-20 19:45:00,1538,16.0,9.0,,3.0,20.0,,28.0,373.0,13.321428571428571,,3
19330543,2025-03-23 19:45:00,1538,8.0,11.0,,6.0,15.0,,25.0,415.0,16.6,,9
19330514,2025-06-04 19:10:00,1538,15.0,10.0,,2.0,9.0,,27.0,436.0,16.14814814814815,,8
19330560,2025-06-08 13:00:00,1538,18.0,10.0,,7.0,11.0,,35.0,390.0,11.142857142857142,,7
19427830,2025-09-04 18:45:00,720,11.0,4.0,,4.0,18.0,,19.0,263.0,13.842105263157896,,3
19427850,2025-09-07 18:45:00,720,9.0,6.0,,2.0,9.0,,17.0,183.0,10.764705882352942,,1
19427884,2025-10-10 18:45:00,720,11.0,6.0,,6.0,10.0,,23.0,153.0,6.6521739130434785,,6
19427920,2025-10-13 18:45:00,720,9.0,5.0,,4.0,14.0,,18.0,253.0,14.055555555555555,,5
19427934,2025-11-14 19:45:00,720,13.0,8.0,,3.0,10.0,,24.0,307.0,12.791666666666666,,4
19427866,2025-11-17 19:45:00,720,11.0,4.0,,5.0,11.0,,20.0,324.0,16.2,,4
